label,message,length,has_url,has_number,exclamation_count,caps_ratio
0,"['its', 'engalnd', '!', 'but', 'telly', 'decided', 'wo', ""n't"", 'let', 'watch', 'mia', 'elliot', 'kissing', '!', 'damn', '!']",16,False,False,3,0.028037383177570093
0,"['no', ',', 'told', 'going', ',', 'got', 'drunk', '!']",8,False,False,1,0.017543859649122806
0,"['not', 'yet', 'chikku', '..', 'wat', 'abt', 'u', '?']",8,False,False,0,0.038461538461538464
0,"['moji', 'love', 'word', '.', 'have', 'rich', 'day']",7,False,False,0,0.041666666666666664
0,"['ok.', 'how', 'many', 'buy', '.']",5,False,False,0,0.07692307692307693
0,"['fighting', 'world', 'easy', ',', 'u', 'either', 'win', 'lose', 'bt', 'fightng', 'some1', 'close', 'u', 'dificult', 'u', 'lose', '-', 'u', 'lose', 'u', 'win', '-', 'u', 'still', 'lose', '.']",26,False,True,0,0.006711409395973154
0,"['did', 'stitch', 'trouser']",3,False,False,0,0.038461538461538464
1,"['got', 'take', '2', 'take', 'part', 'wrc', 'rally', 'oz', '?', 'u', 'lucozade', 'energy', '!', 'text', 'rally', 'le', '61200', '(', '25p', ')', ',', 'see', 'pack', 'lucozade.co.uk/wrc', '&', 'itcould', 'u', '!']",28,False,True,2,0.1069182389937107
0,"['smith', 'waste', 'da.i', 'wan', 'na', 'gayle', '.']",7,False,False,0,0.034482758620689655
0,"['dunno', 'da', 'next', 'show', 'aft', '6', '850', '.', 'toa', 'payoh', 'got', '650', '.']",13,False,True,0,0.0392156862745098
0,"['yeah', ""'s"", 'quite', 'bit', 'left', ',', 'i', ""'ll"", 'swing', 'tomorrow', 'i', 'get']",12,False,False,0,0.04477611940298507
0,"['good', 'morning', 'dear', 'shijutta', '...........', 'have', 'great', '&', 'amp', ';', 'successful', 'day', '.']",13,False,False,0,0.06666666666666667
0,"['i', ""'m"", 'nt', 'goin', ',', 'got', 'somethin', ',', 'unless', 'meetin', '4', 'dinner', 'lor', '...', 'haha', ',', 'wonder', 'go', 'ti', 'time', '...']",21,False,True,0,0.019417475728155338
0,"['if', 'you', 'mean', 'website', '.', 'yes', '.']",7,False,False,0,0.10344827586206896
0,"['hi', 'way', 'i', 'u', '2day', ',', 'normal', 'way', '&', 'real', '.', 'ur', 'unique', '&', 'i', 'hope', 'i', 'know', 'u', '4', 'rest', 'mylife', '.', 'hope', 'u', 'find', 'wot', 'lost', '.']",29,False,True,0,0.04929577464788732
0,"['hey', 'whats', 'plan', 'sat', '?']",5,False,False,0,0.03125
0,"['boy', 'best', 'get', 'yo', 'as', 'quick']",6,False,False,0,0.02631578947368421
0,"['like', 'spoiled', '?', ':', ')']",5,False,False,0,0.0
